ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13470162,JH275360,05/23/2024 09:30:00 AM,0000X S STATE ST,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,false,false,0112,001,34,32,26,1176389,1900278,2024,05/17/2025 03:40:52 PM,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
13462745,JH266473,05/15/2024 09:00:00 PM,011XX S CANAL ST,0820,THEFT,$500 AND UNDER,ATHLETIC CLUB,false,false,0124,001,28,28,06,1173303,1895451,2024,05/17/2025 03:40:52 PM,41.868541914,-87.639235361,"(41.868541914, -87.639235361)"
13473811,JH280089,05/23/2024 11:03:00 AM,096XX S OAKLEY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,2213,022,19,72,06,1162736,1840715,2024,05/17/2025 03:40:52 PM,41.718567241,-87.679557206,"(41.718567241, -87.679557206)"
13464379,JH268397,05/18/2024 10:16:00 AM,0000X S STATE ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0112,001,34,32,06,1176389,1900278,2024,05/17/2025 03:40:52 PM,41.88171846,-87.627760426,"(41.88171846, -87.627760426)"
13467144,JH271876,05/20/2024 07:00:00 PM,011XX E 90TH ST,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,STREET,false,false,0413,004,8,47,04A,1185317,1845534,2024,05/17/2025 03:40:52 PM,41.73129081,-87.596700469,"(41.73129081, -87.596700469)"
13473986,JH280238,05/26/2024 11:00:00 PM,052XX N CAMPBELL AVE,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",APARTMENT,false,false,2011,020,40,4,07,1158897,1934899,2024,05/17/2025 03:40:52 PM,41.97709756,-87.69103814,"(41.97709756, -87.69103814)"
13474282,JH280479,05/27/2024 07:20:00 AM,005XX N HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,true,true,1121,011,27,23,08B,1153617,1903416,2024,05/17/2025 03:40:52 PM,41.890812756,-87.711295172,"(41.890812756, -87.711295172)"
13466382,JH271030,05/20/2024 07:00:00 AM,001XX N WELLS ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0122,001,42,32,06,1174701,1901579,2024,05/17/2025 03:40:52 PM,41.885326396,-87.633919718,"(41.885326396, -87.633919718)"
13465459,JH269651,05/19/2024 09:12:00 AM,034XX S HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,0915,009,11,60,06,1171534,1881930,2024,05/17/2025 03:40:52 PM,41.831478244,-87.646126931,"(41.831478244, -87.646126931)"
13472928,JH278967,05/25/2024 07:45:00 PM,0000X S KEDZIE AVE,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,VEHICLE - COMMERCIAL,false,false,1124,011,28,27,26,1155056,1899700,2024,05/17/2025 03:40:52 PM,41.880586939,-87.706110174,"(41.880586939, -87.706110174)"
13469322,JH274720,05/21/2024 04:21:00 PM,026XX W CATALPA AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,2011,020,40,4,06,1157850,1936430,2024,05/17/2025 03:40:52 PM,41.981320174,-87.694846469,"(41.981320174, -87.694846469)"
13467425,JH272219,05/21/2024 03:00:00 AM,061XX S KILBOURN AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0813,008,13,65,08A,1147427,1863456,2024,05/17/2025 03:40:52 PM,41.781277939,-87.735050267,"(41.781277939, -87.735050267)"
